FID,X,Y,TWI,Curvatura,Declividade,Elevacao,Aspecto,Geologia,Uso,class
1,369756,7344220,16.59074020390,-0.04338598251,0.72748786211,0.41854426265,159.017288208,2,90,0
2,367437,7344509,12.29627418520,0.11259078980,1.85976696014,4.68192195892,192.650695801,65,90,0
3,366952,7344909,10.90989112850,-0.14174258709,2.56658339500,1.40449237823,111.428329468,65,90,0
4,370587,7344950,5.55258369446,-1.75604772568,2.78791379929,4.56869125366,224.812011719,2,90,0
5,371074,7345311,4.92521190643,2.40697479248,33.16489410400,44.02638626100,167.046524048,2,90,0
6,366577,7345430,3.43642520905,-0.02770233154,32.76494598390,40.58907318120,309.433410645,65,120,0
7,371091,7345432,6.17676687241,-0.04669189453,2.37883996964,80.57303619380,301.314666748,2,90,0
8,366716,7345568,3.96217100000,-2.64968729019,25.43760108950,5.53690433502,356.868347168,65,120,0
9,370469,7345665,15.31946372990,0.03563129902,0.39916986227,1.08948183060,286.032714844,2,30,0
10,370846,7345812,4.48345041275,-1.19188976288,18.71799278260,15.16534709930,269.195770264,2,20,0
11,370946,7346222,11.36752223970,0.03192567825,0.59634512663,4.89380359650,338.187011719,2,30,0
12,372569,7346450,2.55745339394,1.77748870850,37.77635955810,47.37740325930,158.523406982,2,90,0
13,371944,7346464,4.43809127808,0.27103424072,25.30193328860,85.90228271480,323.080505371,2,90,0
14,372173,7346506,3.21087408066,1.29981231689,21.95995712280,84.55412292480,110.855949402,2,90,0
15,371838,7346514,9.98706245422,-1.11188888550,12.47393512730,25.05110931400,251.983993530,2,90,0
16,372083,7346535,4.57580184937,2.67209625244,5.87960863113,108.15685272200,219.038406372,2,90,0
17,371802,7346596,4.03758239746,0.87517166138,35.20689392090,62.99367141720,168.558197021,2,20,0
18,371843,7346680,6.61916017532,-1.74684143066,22.47541427610,90.60494232180,246.498275757,2,20,0
19,372397,7346681,4.85940074921,0.00625228882,28.49573135380,54.95885849000,175.421310425,2,90,0
20,372439,7346764,2.89028239250,2.86819458008,29.05678176880,108.85446167000,165.784530640,2,90,0
21,371946,7347338,3.71538376808,0.61248016357,25.96245765690,110.04487609900,282.289672852,2,20,0
22,371658,7347411,13.76718425750,-0.07074025273,0.49558341503,0.05969879031,170.418670654,2,30,0
23,373638,7347484,3.73167204857,1.42321014404,25.59702301030,97.23810577390,202.744964600,65,20,0
24,372051,7347513,4.40162658691,1.48975372314,26.11849975590,117.32515716600,317.770355225,65,20,0
25,373124,7347547,4.03783559799,-1.35391998291,19.42836570740,102.43118286100,242.141265869,2,90,0
26,373849,7347647,6.59809732437,-0.87964630127,16.69141197200,82.50044250490,93.330596924,65,90,0
27,373367,7347770,3.14928936958,3.73136138916,23.21091079710,99.28118896480,340.616027832,65,90,0
28,371933,7347835,11.97542476650,-0.01420474052,0.38442283869,0.11770918965,122.033821106,2,30,0
29,371924,7347889,15.46167373660,-0.01209127903,0.41917157173,0.35905629396,108.774246216,2,90,0
30,372536,7347928,8.93852233887,0.09017038345,1.72889077663,4.61541080475,29.779096603,65,30,0
31,373697,7347930,6.71571111679,1.46112823486,21.79494476320,127.28131103500,308.504119873,65,90,0
32,372376,7348032,15.11089515690,0.05819654465,1.31203544140,2.26702594757,24.722621918,65,20,0
33,372941,7348198,13.71002674100,-0.00413346291,2.74361133575,2.79357194901,237.663406372,65,30,0
34,373058,7348281,6.41190767288,0.09776830673,2.81991910934,7.61807107925,280.795745850,65,30,0
35,373085,7348303,4.62462615967,-0.12044715881,5.60126638412,8.73932266235,302.536682129,65,30,0
36,373085,7348303,8.78049500000,-0.53521800000,4.04424800000,8.04369900000,302.536683000,65,30,0
37,373158,7348356,4.98548364639,1.33881568909,11.59030151370,30.00622367860,265.095672607,65,30,0
38,373302,7348445,3.58544993401,3.21231937408,15.49560546880,14.29476165770,336.053710938,65,30,0
39,373513,7348581,3.77518057823,-0.29642486572,24.63898658750,17.35998535160,320.237884521,65,90,0
40,373334,7348643,8.22958469391,0.01001119614,2.07830953598,3.78668618202,341.289825439,65,20,0
41,373418,7348674,8.22178077698,0.02088308334,2.08743357658,3.69971561432,298.580474854,65,20,0
42,373481,7348687,7.15328025818,0.05003309250,0.89637011290,4.81766033173,301.695739746,65,20,0
43,373978,7347781,6.06956815720,-0.40823364258,15.50724506380,57.88449859620,143.423217773,65,90,0
44,373971,7347824,5.02808046341,-1.01037597656,27.65950584410,69.84853363040,136.459991455,65,90,0
45,374231,7348007,3.13291454315,2.66003417969,23.55266952510,85.21459960940,194.995590210,65,90,0
46,374080,7348056,3.34312272072,3.14088439941,19.45655059810,139.42274475100,103.874755859,65,90,0
47,374437,7348262,6.69832849503,-1.69541931152,23.93498802190,69.68115997310,92.186241150,65,90,0
48,375215,7348949,4.60157728195,1.21302032471,16.75598716740,72.11172485350,147.987823486,2,90,0
49,375221,7348959,3.39164614677,1.27959442139,18.59974288940,74.74016571040,147.633438110,2,90,0
50,375682,7349015,5.53562021255,0.10790252686,13.31279945370,29.98587417600,89.076789856,2,90,0
51,375711,7349057,4.73036670685,-0.55388259888,14.82601356510,22.54376983640,94.805191040,2,90,0
52,375217,7349288,3.20633363724,1.57511901855,39.01083374020,214.22337341300,146.552581787,65,90,0
53,379591,7352852,3.65307068825,0.97752761841,14.52668190000,51.81603622440,65.704826355,2,20,0
54,379634,7352898,5.07347440720,1.54721832275,20.58808517460,27.73260879520,55.931404114,2,30,0
55,379303,7353012,14.51445770260,-0.08306666464,0.11947005987,0.01523477864,236.492080688,2,30,0
56,377535,7353070,4.11480140686,0.29145812988,26.09911537170,50.21789550780,358.883300781,2,90,0
57,376851,7353249,3.34451699257,2.89467620850,19.43144416810,19.48824119570,69.930892944,2,90,0
