FID,x,y,TWI,Curvatura,Declividade,Elevacao,Aspecto,Geologia,Uso,class
1,369785.871738,7348052.807680,14.80863857270,0.00000768486825109,0.1056926473980,1.924176335330,58.6042823792,2,40,0
2,370348.112446,7348945.778210,10.19201755520,0.00000274354306384,0.1932084560390,3.242078304290,120.8249282840,2,30,0
3,371538.739827,7349408.799970,9.12290668488,0.00007365195779130,0.2501230537890,4.444725036620,224.5036926270,2,90,0
4,370943.426137,7349805.675770,12.21141433720,0.00000239803853219,0.0712385550141,3.604680061340,253.7611846920,2,90,0
5,372200.199484,7350235.624540,11.02103614810,0.00004953070310880,0.5298868417740,3.623056650160,295.8030700680,2,90,0
6,373093.170020,7350467.135420,10.04268074040,0.00005027147199140,0.4984953701500,3.940709590910,112.1550903320,2,20,0
7,373622.337745,7351194.741050,6.10394668579,-0.00005548493936660,15.0072040558000,10.023327827500,271.9607238770,2,60,0
8,374349.943366,7351624.689820,7.08953475952,0.00031704263528800,1.4638366699200,2.954944133760,315.0067443850,2,60,0
9,374184.578452,7352186.930530,10.87681293490,-0.00003466174530330,0.1485597640280,1.894877195360,280.8298034670,2,40,0
10,374614.527229,7352649.952290,16.11856079100,0.00001100415192920,0.2293617427350,2.305378913880,334.0350952150,2,40,0
11,374449.162315,7353311.411950,14.93725585940,-0.00000576817728870,0.2518783509730,1.624312877660,179.0885162350,2,60,0
12,374978.330040,7353344.484930,10.40565776820,0.00003170944910380,0.1907188296320,3.078249454500,182.4809265140,2,110,0
13,374581.454246,7354171.309500,11.37049007420,0.00001033254648060,0.1981990337370,2.579932689670,353.6188659670,2,40,0
14,375077.548988,7354072.090550,13.74415302280,-0.00000722459117242,0.1366039961580,1.709659814830,334.1882324220,2,40,0
15,375011.403023,7354799.696170,12.32171916960,0.00000022110975806,0.1786341369150,1.855999231340,250.5916748050,2,70,0
16,375507.497765,7354898.915120,11.76993560790,-0.00000139236988161,0.1462228894230,2.754271984100,169.0402374270,2,70,0
17,381989.802396,7358867.673060,2.58639264107,0.00222032261081000,36.9765243530000,47.001762390100,290.8380126950,65,90,0
18,381824.437482,7358338.505330,4.54907798767,-0.00729053281248000,27.8720397949000,95.588890075700,311.7396850590,65,90,0
19,382386.678190,7358437.724280,5.92260646820,-0.00370196346194000,25.7376785278000,129.749481201000,90.2522659302,65,90,0
20,382221.313276,7357809.337610,6.00281047821,0.00106689974200000,1.4159518480300,157.515396118000,23.1204509735,65,90,0
21,382684.335035,7357743.191640,3.03726696968,0.03334586694840000,43.8105010986000,183.273956299000,131.2554931640,65,90,0
22,382618.189070,7357081.731990,6.30506801605,0.00185184704605000,14.3476495743000,107.794677734000,113.0532836910,2,90,0
23,382981.991880,7357313.242870,6.15450620651,-0.00292789540254000,28.9079780579000,155.706695557000,145.5288848880,65,90,0
24,380468.445187,7350103.332610,4.26850652695,0.01126257609580000,15.6450748444000,143.305938721000,162.1529846190,65,90,0
25,379939.277462,7349971.040680,11.97548389430,0.00014402242959500,0.0871794149280,4.994998931880,80.8420562744,65,30,0
26,379112.452891,7350070.259630,7.83335494995,-0.00913836713880000,2.6491911411300,1.431468367580,345.8761901860,2,20,0
