Dependents,Education,ApplicantIncome,CoapplicantIncome,LoanAmount,Credit_History,Property_Area,Male,employed_Yes,married_Yes,resultado_predito
0,0,5720,0,110,1.0,0,1,0,1,1
1,0,3076,1500,126,1.0,0,1,0,1,1
2,0,5000,1800,208,1.0,0,1,0,1,1
2,0,2340,2546,100,1.0,0,1,0,1,1
0,1,3276,0,78,1.0,0,1,0,0,1
0,1,2165,3422,152,1.0,0,1,1,1,1
1,1,2226,0,59,1.0,1,0,0,0,1
2,1,3881,0,147,0.0,2,1,0,1,0
2,0,13633,0,280,1.0,0,1,0,1,1
0,1,2400,2400,123,1.0,1,1,0,0,1
0,1,3091,0,90,1.0,0,1,0,0,1
1,0,2185,1516,162,1.0,1,1,0,1,1
3,0,4166,0,40,1.0,0,1,0,0,1
2,0,12173,0,166,0.0,1,1,0,1,0
0,0,4666,0,124,1.0,1,0,0,0,1
1,0,5667,0,131,1.0,0,1,0,0,1
2,0,4583,2916,200,1.0,0,1,0,1,1
3,0,3786,333,126,1.0,1,1,0,1,1
0,0,9226,7916,300,1.0,0,1,0,1,1
0,0,1300,3470,100,1.0,1,1,0,0,1
1,1,1888,1620,48,1.0,0,1,0,1,1
3,1,2083,0,28,1.0,0,0,0,0,1
0,0,3909,0,101,1.0,0,0,0,0,1
0,1,3765,0,125,1.0,0,0,0,0,1
0,0,5400,4380,290,1.0,0,1,0,1,1
0,0,0,24000,148,0.0,2,1,0,0,0
2,0,4363,1250,140,1.0,0,1,0,1,1
0,0,7500,3750,275,1.0,0,1,0,1,1
0,0,3772,833,57,1.0,1,1,0,1,1
0,0,2942,2382,125,1.0,0,1,0,0,1
0,1,2478,0,75,1.0,1,0,0,0,1
2,0,6250,820,192,1.0,0,1,0,1,1
0,0,3268,1683,152,1.0,1,1,0,0,1
0,0,2783,2708,158,1.0,0,1,0,1,1
0,0,2740,1541,101,1.0,0,1,0,1,1
0,0,3150,0,176,0.0,1,1,0,0,0
2,0,7350,4029,185,1.0,0,1,0,1,1
0,0,2267,2792,90,1.0,0,1,1,1,1
0,0,5833,0,116,1.0,0,1,1,0,1
0,0,3643,1963,138,1.0,0,1,0,0,1
0,0,5629,818,100,1.0,0,1,0,1,1
0,0,3644,0,110,1.0,0,0,0,0,1
0,1,1750,2024,90,1.0,1,1,0,1,1
0,0,6500,2600,200,1.0,1,1,0,0,1
0,0,3666,0,84,1.0,0,0,0,0,1
0,0,4260,3900,185,1.0,0,1,0,1,1
0,1,4163,1475,162,1.0,0,1,0,1,1
0,1,2356,1902,108,1.0,1,1,0,0,1
0,0,6792,3338,187,1.0,0,1,0,0,1
3,1,8000,250,187,1.0,1,1,1,1,1
1,0,2419,1707,124,1.0,0,1,0,1,1
3,1,3500,833,120,1.0,1,0,0,1,1
1,0,3500,3077,160,1.0,1,1,0,1,1
2,0,4116,1000,30,1.0,0,1,0,1,1
0,1,5293,0,92,1.0,0,1,1,1,1
0,0,2750,0,130,0.0,0,1,0,0,0
0,1,4402,0,130,1.0,2,0,0,0,1
2,0,3613,3539,134,1.0,1,1,0,1,1
2,0,2779,3664,176,0.0,1,0,0,1,0
3,0,4720,0,90,1.0,1,1,0,1,1
0,1,2415,1721,110,1.0,1,1,0,1,1
0,0,7016,292,125,1.0,0,1,1,1,1
2,0,4968,0,189,1.0,1,0,0,0,1
0,0,2101,1500,108,0.0,2,0,0,0,0
3,1,4490,0,125,1.0,0,1,0,1,1
0,0,2917,3583,138,1.0,1,1,0,1,1
0,1,4700,0,135,0.0,1,1,0,1,0
