FID,X,Y,Declividade,Aspecto,Curvatura,Elevacao,TWI,Geologia,Uso,class
178,380573,7355121,28.84728241,340.6282349,2.786247253,102.1309357,5.383821011,65,90,1
118,371802,7346396,18.66872025,226.5265198,1.74643898,13.86297798,5.333580971,2,90,1
5,369072.4844,7343059.72,23.40075493,314.2652893,0.99958992,34.51089478,4.526464939,2,30,0
190,380895,7356004,1.94106269,327.4280396,-58.84660721,4.999742985,12.44157791,65,90,1
188,381307,7355824,26.19254303,22.16379929,2.3852005,119.2698059,3.012065887,65,90,1
48,374972.483,7349620.32,26.45514488,328.4436035,-2.616607666,56.07284546,4.792294502,65,90,0
107,366577,7345230,22.46250534,106.2530823,-2.655395508,8.757501602,5.38303566,65,90,1
189,379331,7355938,18.8932991,310.6597595,-0.094474792,64.99707031,5.45425272,65,90,1
193,381050,7356277,15.0950098,326.8956299,-1.605478883,2.292150021,3.619275093,2,90,1
23,371672.0208,7345903.997,48.33721161,99.93604279,-0.998271942,69.40396881,5.619817734,2,90,0
51,374043.7936,7349961.633,9.94722557,178.9678192,0.786216736,71.8868866,7.134444237,2,90,0
160,379144,7353157,27.57062721,100.0996017,1.04391098,44.77903366,5.254999638,2,90,1
135,373058,7348081,28.6667614,323.7924194,-0.832468033,30.54110527,3.599532127,65,30,1
47,375938.4356,7349522.181,16.36772537,167.9672394,0.300880432,99.61725616,5.137204647,2,90,0
179,380890,7355173,22.82974434,175.213913,-2.368614197,10.28103828,5.470358849,2,90,1
70,376044.7855,7351156.511,25.23096466,319.4602051,-1.290512085,226.0545654,5.134448051,65,90,0
195,378948,7356580,34.77697372,85.4450531,0.132705688,87.62624359,4.276698589,65,90,1
156,379303,7352812,23.36314964,16.72984314,-6.957310677,16.52991867,4.24058485,65,90,1
96,382613.6649,7358180.6,20.05457687,294.7667542,1.803894043,109.2950439,3.310308218,65,90,0
101,383437.2185,7359892.238,34.81416321,318.1416016,-0.364013672,170.9797058,4.457634926,65,90,0
148,374437,7348062,19.64105988,116.8308334,-0.242486954,34.96390915,3.332907915,2,90,1
68,379770.0862,7351065.72,3.6496377,295.8343811,-0.744378328,0.233454078,12.03578568,2,90,0
149,375215,7348749,21.73439217,117.8452606,-3.024177551,36.08774567,5.168181896,2,90,1
113,372569,7346250,20.30931282,306.6059265,-1.65367651,9.144705772,5.78269577,2,30,1
78,377021.5917,7352329.726,27.34553146,309.5042725,-0.819641113,82.03546143,5.04145813,65,90,0
57,372140.0194,7350217.465,0.58025503,297.1991272,-0.016824722,3.154886723,11.97548389,2,90,0
6,366320.8122,7343218.47,24.57691956,176.4207611,-0.855857849,94.87793732,5.164336681,2,90,0
74,377566.1427,7351619.532,1.15339947,132.166626,-0.045845985,2.969225168,10.15937233,2,90,0
98,381913.2155,7358368.235,27.33809471,330.1865845,-1.33846283,120.9436798,6.746524811,65,90,0
180,380692,7355273,13.42476082,180.9011688,0.033721924,189.9815979,5.344609737,65,90,1
71,378293.7483,7351189.584,0.28264517,94.78007507,0.006246924,1.868806601,9.406126022,2,90,0
99,382627.5919,7359003.236,6.88188458,72.69694519,2.490631104,221.85672,4.4170928,65,90,0
12,367663.5753,7343648.419,43.18179703,331.7418518,0.401199341,86.24581909,4.44553709,2,90,0
7,366797.0632,7343244.929,34.30587769,72.78181458,-0.831604004,100.701828,5.942961693,65,90,0
112,370891,7346076,43.90483093,316.640686,-0.263122559,46.62856293,4.132582664,2,30,1
162,379188,7353226,26.58053398,322.3036499,-1.440643311,9.982554436,4.381351471,2,20,1
69,368250.6367,7351143.509,0.14361073,348.3834534,0.000163078,2.431482792,14.13789654,2,30,0
13,368893.8903,7343820.399,31.9313755,180.1389771,1.449783325,89.39797974,5.173360348,2,90,0
15,367114.5638,7343919.618,26.31976318,142.5610504,0.811233521,74.30714417,6.373765945,65,90,0
150,375221,7348759,28.18175507,131.1707153,0.032655716,20.49674416,4.025218964,2,20,1
169,377400,7354452,35.36120224,284.9174194,-4.060067177,14.52309227,4.031870842,2,90,1
65,375116.5879,7350900.973,25.43123436,306.1756897,0.021102905,82.39375305,6.734847069,65,90,0
72,380188.6605,7351300.752,24.31096268,284.5579834,3.687431335,39.08574295,3.790364027,2,90,0
172,377547,7354628,34.61306,324.7636719,0.703105927,55.50190735,3.366520405,65,90,1
167,376841,7354165,27.13415909,279.2990723,-1.978398323,13.50446892,4.580520153,2,90,1
1,369866.236,7341789.717,27.72348976,37.91918945,-0.788742065,85.81459808,5.510873318,2,90,0
86,380389.2124,7354288.352,32.30979919,201.470993,-0.401374817,100.8330307,5.89629221,2,90,0
137,373085,7348103,21.56494331,322.1996765,-1.428955078,30.23019981,4.617191315,65,30,1
81,378714.9284,7352792.748,21.95036888,179.4349213,-2.304571152,25.04052734,5.003116608,2,90,0
93,380923.3268,7356928.545,28.38688278,140.2937012,3.276145935,128.5242767,5.220612049,65,90,0
161,376797,7353183,6.2254343,52.27470779,-0.590970516,8.013238907,5.616835117,65,30,1
31,378163.0065,7346989.093,27.75332451,318.9701843,-0.164588928,95.40084839,4.043272018,2,90,0
83,379849.4614,7353700.976,34.25535583,173.8742218,0.544757843,62.23939514,4.632669449,2,90,0
145,373971,7347624,19.92059517,129.376709,-0.928845406,12.2870779,5.3970294,2,30,1
126,373124,7347347,27.73070717,148.5493164,1.299266815,42.28518677,3.638765812,2,90,1
80,373134.363,7352744.014,0.27561313,325.4160156,0.002101898,3.626385212,10.47277641,2,40,0
44,378188.4065,7348903.622,1.25873601,186.7875061,0.055611849,3.370521307,7.219155312,2,20,0
159,376778,7353100,14.01349735,144.7627258,-4.570755005,10.54997253,7.022772789,65,30,1
