,FID,X,Y,TWI,Curvatura,Declividade,Elevacao,Aspecto,Geologia,Uso,class
149,150,375711.0,7348857.0,5.15532922745,0.00600355258211,24.7726898193,17.3979167938,113.47254943799999,2,20,1
50,51,372986.89550100005,7346015.07096,6.48657369614,0.00287413806655,0.8729819655419999,4.99981212616,339.587402344,2,90,0
3,4,379979.825821,7351661.227089999,7.97554731369,-0.000134410744067,0.9847222566599999,1.03308653831,251.309570313,2,20,0
107,108,370469.0,7345465.0,4.96600914001,-0.0155652360991,15.5804109573,7.683497428890001,344.07153320300006,2,30,1
144,145,374080.0,7347856.0,6.54083967209,8.85853005457e-05,26.8004798889,49.9419326782,180.644973755,65,90,1
162,163,377099.0,7353932.0,9.01970767975,-0.0060658659786,6.1865963935899995,1.1363790035199999,318.357971191,2,90,1
102,103,370587.0,7344750.0,3.6467049121900006,-0.011569654569,27.5437679291,13.0090694427,251.34606933599997,2,20,1
188,189,379107.63534000004,7356031.79155,5.45425271988,0.00071968510747,18.8932991028,64.9970703125,310.659759521,65,90,1
34,35,377368.404264,7351941.749480001,5.63217735291,-0.00455634249374,28.240945816,29.6359558105,185.691314697,2,90,0
166,167,377400.0,7354452.0,4.80127716064,-0.0215475708246,22.340814590500003,9.36975860596,282.58761596700003,2,90,1
67,68,370332.237414,7346683.586189999,9.07696056366,7.55684523028e-05,0.32735207676899997,2.9619426727300002,181.833282471,2,30,0
58,59,367686.398789,7343561.496610001,3.5592598915099996,0.0124298911542,29.6484146118,155.844802856,328.986114502,2,90,0
42,43,376415.902359,7348174.07528,15.451465606700001,-0.000128243249492,0.208554074168,3.70184755325,199.423217773,2,90,0
49,50,373706.563607,7346501.90527,8.13506412506,1.6203006453e-05,0.167921423912,5.2034959793099995,237.94694519,2,30,0
10,11,382040.955276,7356137.520380001,4.38202285767,0.00953804701567,20.5561180115,22.5760822296,40.2608184814,2,90,0
31,32,374066.39766,7349719.2450399995,5.63138628006,3.27494817611e-05,14.0822038651,34.9785346985,178.18395996099997,2,20,0
63,64,367818.690721,7345519.4172,10.615962982200001,-4.159704622e-05,0.449583142996,3.3510546684299998,124.64636993399999,2,70,0
194,195,380392.0,7357192.0,4.27669858932,-6.15399258095e-05,34.7769737244,87.6262435913,85.4450531006,65,90,1
20,21,375653.900835,7354185.420639999,9.63237190247,-2.95779336739e-05,0.48839327693000006,2.75721979141,273.525085449,2,40,0
46,47,374955.399438,7346925.23945,8.979180336,0.00015541673929,0.21658790111499998,2.3300280571000003,212.26084899900002,2,30,0
164,165,376841.0,7354165.0,4.4523687362699995,-0.0189126580954,19.2659568787,5.33796977997,266.338897705,2,90,1
133,134,373085.0,7348103.0,3.1503539085400005,-0.00417736452073,23.188831329299997,29.567529678299998,328.96496582,65,30,1
73,74,372634.117018,7349064.84095,15.451581955,-5.97710604779e-05,0.08613529801400001,4.73696422577,176.77049255400001,2,30,0
9,10,380248.05035700003,7354460.8206899995,4.66594266891,-0.00984224677086,10.6587781906,136.085479736,221.958282471,65,90,0
59,60,367157.231064,7343217.53759,3.6523141861000004,0.00928040407598,14.537207603499999,44.6821975708,333.020172119,2,90,0
7,8,379342.792547,7355265.4943,2.67637205124,0.00553977303207,34.5327606201,262.594909668,333.242095947,65,90,0
163,164,377247.0,7353988.0,5.88843774796,-0.0113079911098,14.00481987,6.933695793150001,318.74304199200003,65,90,1
170,171,377584.793752,7354582.0061,4.157443046569999,0.00372932618484,38.0387763977,45.6915588379,323.59719848599997,2,90,1
27,28,374891.899311,7351497.2486,12.4862508774,5.96816498728e-05,2.06511569023,2.0074310302700002,345.08718872099996,2,40,0
146,147,375215.0,7348749.0,3.3329079151200003,-0.00855843350291,19.641059875499998,34.9639091492,116.830833435,2,90,1
35,36,377135.570465,7351412.58176,9.0358581543,-0.000113518624858,0.47751632332800004,4.51730918884,84.7735519409,2,90,0
197,198,380401.0,7357501.0,5.0767116546599995,-0.00996494200081,10.6037111282,2.37633514404,347.489746094,65,20,1
78,79,378126.878004,7351975.263439999,10.852619171099999,-0.000231945101405,0.277221292257,0.617485880852,30.002067565900003,2,90,0
189,190,379289.0,7356161.0,12.441577911400001,-0.586256086826,1.9410626888299998,4.99974298477,327.428039551,65,90,1
159,160,379188.0,7353226.0,5.61683511734,-0.00401690788567,6.225434303279999,8.01323890686,52.2747077942,65,30,1
192,193,378948.0,7356580.0,3.61927509308,-0.0177926663309,15.095009803800002,2.2921500206,326.89562988299997,2,90,1
184,185,378847.0,7355804.0,5.6077919006300005,-0.0213143974543,18.2745018005,7.478470325470001,296.540710449,65,90,1
150,151,375217.06637899997,7349087.6505,4.72549343109,-0.00202381308191,31.8255462646,129.676437378,160.834350586,65,90,1
13,14,381517.079228,7356852.425969999,6.17935228348,0.00628501409665,11.7047929764,79.9801940918,269.778320313,65,90,0
118,119,372439.0,7346564.0,6.53435230255,0.00296547287144,20.6912574768,19.4921836853,266.399078369,2,90,1
39,40,375929.068052,7349909.74542,4.60133886337,-0.000283939181827,26.6529865265,235.09678649900002,178.819061279,65,90,0
196,197,380389.0,7357243.0,3.8662276268,0.00610876874998,22.7211914063,85.26066589359999,78.4964294434,65,90,1
25,26,375526.90058099997,7351835.91594,15.0356378555,-0.00106745981611,2.50834751129,0.973117113113,13.002837181099999,65,40,0
77,78,367977.441038,7344857.957539999,11.347720146199999,1.77305992111e-05,0.101381868124,3.91070508957,97.2551651001,2,20,0
137,138,373513.411523,7348380.505,4.1402516365099995,0.00208509131335,43.6853294373,95.9196395874,309.282958984,65,90,1
18,19,376458.235777,7354354.754310001,9.90298938751,-1.60254003276e-05,0.315280616283,1.24709844589,48.9345932007,2,70,0
23,24,375823.234507,7352661.41759,10.8768129349,-0.000176754139829,1.09189856052,1.58934020996,141.188812256,65,60,0
176,177,380890.0,7355173.0,5.18646907806,-0.000320228224155,26.7140369415,65.00498962399999,89.9178161621,2,90,1
6,7,378387.242635,7354946.97766,3.2960484027900003,0.00454322062433,20.3192062378,94.4615249634,333.49407959,65,90,0
105,106,371091.0,7345232.0,6.278617858890001,0.00096835376462,23.339141845700002,14.6477403641,89.3066482544,2,90,1
4,5,379694.83725100005,7353572.32691,8.588962554930001,-0.00170004169922,2.55803418159,0.982775688171,194.715393066,2,90,0
99,100,369756.0,7344020.0,3.4503295421599995,-0.00430832011625,32.4034500122,31.9829311371,3.8386847973,2,20,1
51,52,372203.72726799996,7345591.73678,9.29352378845,-1.03549937194e-05,0.10544475167999999,5.36994934082,212.230148315,2,30,0
1,2,378672.231205,7352331.788430001,7.45204782486,-0.00466086529195,4.79825162888,3.92531061172,268.283874512,2,90,0
142,143,373971.0,7347624.0,3.7550766468,-0.0172456298023,35.0673179626,34.8203773499,59.1813468933,65,20,1
29,30,374489.73184,7350333.0796,3.8489828109699995,0.00988020841032,23.0753574371,192.56015014599998,113.63808441200001,65,90,0
172,173,377719.0,7354677.0,4.8911447525,-0.0180887617171,16.726196289100002,6.98177433014,334.005187988,2,90,1
40,41,376669.902867,7349571.07808,9.6157579422,0.000467112695333,3.92833399773,3.7653427124000003,74.4781265259,2,90,0
104,105,366577.0,7345230.0,5.38303565979,-0.019427780062,22.4625053406,8.75750160217,106.253082275,65,90,1
168,169,377535.09372600005,7354527.19355,2.8141446113599997,0.00781036820263,30.945217132600003,68.9822235107,17.4091835022,2,90,1
89,90,370943.426137,7348185.099610001,10.8768129349,5.68776231376e-05,0.066246256232,3.0402276516000004,97.37055206299999,2,30,0
64,65,368612.442308,7344937.3327,10.5402832031,-1.44557970998e-05,0.318236976862,3.0543923377999995,339.22769165,2,20,0
30,31,373643.06348,7350057.912380001,3.73200154305,0.00406232941896,25.5896377563,25.184997558600003,268.136871338,2,90,0
173,174,380247.0,7355075.0,3.11185240746,0.00921689346433,65.8079147339,183.386306763,335.578704834,65,90,1
53,54,370676.196436,7344143.581110001,9.005630493160002,-0.000162416748935,0.284350275993,2.2710249424,192.085952759,2,30,0
143,144,374231.0,7347807.0,5.39702939987,-0.010983013548,19.9205951691,12.287077903699998,129.376708984,2,30,1
8,9,379443.376748,7354477.58472,4.0537319183300005,0.00301354844123,19.1444225311,202.76406860400002,142.313842773,65,90,0
93,94,370348.112446,7343885.611839999,11.5280303955,6.12446092418e-05,0.293468117714,4.71076869965,359.91204834,2,30,0
21,22,375907.901343,7353423.419110001,9.44377231598,1.20152490126e-05,0.272202193737,2.6591567993200003,78.9714813232,2,60,0
101,102,366952.0,7344709.0,9.03274536133,-0.018978221342,12.9282388687,1.4469916820500002,80.8752822876,65,90,1
52,53,371695.726252,7345358.902989999,7.467409610750001,0.000134996487759,0.327386647463,5.04439687729,327.887756348,2,30,0
155,156,376851.0,7353049.0,4.61140918732,-0.0183658320457,26.4223327637,8.162531852719999,88.64701080319999,2,30,1
