FID,X,Y,TWI,Curvatura,Declividade,Elevacao,Aspecto,Geologia,Uso,class
1,368992.1201510,7347940.35954,10.51068878170,-0.00001037277343130,0.2341407835480,2.16115570068,203.0033721920,2,70,0
2,368826.7552370,7348337.23533,9.90045070648,0.00000957136944635,0.1724094748500,3.05732965469,240.9783477780,2,70,0
3,369190.5580480,7348403.38130,10.44769763950,0.00005562712613030,0.0831222608685,3.75009155273,70.6397933960,2,130,0
4,368793.6822540,7348734.11112,11.37934780120,0.00000085333937250,0.0916776582599,3.06622672081,279.4122924800,2,130,0
5,369091.3390990,7349230.20587,9.36119079590,0.00008523819269610,0.1970912367110,3.97102594376,132.0097808840,2,20,0
6,369091.3390990,7348833.33007,11.09212303160,0.00000317534886562,0.1396351307630,3.55204010010,285.7324218750,2,130,0
7,369455.1419100,7348667.96516,9.26307201385,0.00003452094824750,0.1087052226070,3.73611402512,99.8086547852,2,20,0
8,369653.5798070,7349064.84095,14.48770713810,-0.00002433500594630,0.0815751627088,3.56263256073,57.4482116699,2,30,0
9,369388.9959440,7349461.71675,12.32764148710,-0.00005643551412500,0.1141590848570,3.82104802132,98.4197692871,2,30,0
10,369818.9447210,7349461.71675,8.77490520477,-0.00000414792793890,0.0885592028499,4.07750749588,201.9342651370,2,30,0
11,370248.8934980,7349693.22763,9.27922439575,-0.00000529140470462,0.2674072980880,3.94853925705,93.8049545288,2,30,0
12,369752.7987550,7349759.37359,11.06572532650,-0.00000471940256830,0.0896059870720,4.10929775238,304.6217041020,2,30,0
13,370083.5285840,7350156.24939,9.13969612122,0.00000685930945110,0.3074464797970,4.08225297928,90.3933792114,2,30,0
14,370480.4043770,7349891.66552,9.60869121552,-0.00004775992783830,0.3462249636650,3.93641948700,70.2867050171,2,90,0
15,370315.0394630,7350486.97921,10.44890022280,-0.00003590048072510,0.1992516964670,4.07657337189,80.9797286987,2,30,0
16,370678.8422740,7350255.46833,10.92737388610,-0.00003758785896930,0.1234820187090,3.36811828613,68.0614089966,2,90,0
17,371174.9370160,7350354.68728,11.90479183200,-0.00002220468741140,0.0813131853938,3.44651341438,61.2496414185,2,90,0
18,370612.6963090,7350586.19816,11.56993579860,-0.00002554298589530,0.0182382613420,3.19538164139,291.5213928220,2,90,0
19,371108.7910510,7350784.63606,10.42558193210,-0.00002166789454350,0.2889325916770,3.39473128319,79.6154403687,2,90,0
20,371538.7398270,7350586.19816,7.33351802826,0.00005539512130780,0.3742915689950,3.80702590942,20.6750755310,2,90,0
21,371406.4478960,7351016.14694,13.00439643860,-0.00003659840876940,0.0461191013455,3.06276845932,269.2555847170,2,90,0
22,371902.5426380,7351313.80378,8.86712741852,0.00004337410427980,0.3230240345000,4.11589145660,217.8074035640,2,90,0
23,371671.0317590,7350883.85501,15.05117607120,-0.00002472573396520,0.0134002948180,3.12524080276,210.5703430180,2,90,0
24,372134.0535180,7350817.70904,8.18292999268,0.00005193357355890,0.4217983186240,3.28449320793,324.7631835940,2,90,0
25,372431.7103630,7351016.14694,9.31266593933,0.00000675525689076,0.2068904340270,3.56035327911,291.4580993650,2,60,0
26,372134.0535180,7351479.16870,8.66140842438,0.00024025022867100,0.1984026283030,4.41986894608,177.3996124270,2,60,0
27,372497.8563290,7351578.38765,10.98706817630,0.00001839393553380,0.2908146083350,3.72980117798,104.7056274410,2,40,0
28,372795.5131740,7351413.02273,8.29771518707,0.00000908558286028,0.4281381964680,4.18318891525,289.9953002930,2,40,0
29,373258.5349340,7351842.97151,8.67530059814,-0.00009273775503970,0.4891547858720,3.78545093536,12.5096149445,2,40,0
30,372663.2212430,7351842.97151,9.27380752563,0.00015623672516100,0.3764012753960,3.48600149155,143.0866546630,2,60,0
31,372960.8780880,7351975.26344,13.01562309270,0.00001220426293000,0.1287750452760,3.12421894073,312.7449340820,2,60,0
32,372993.9510710,7352339.06625,11.03988742830,0.00001036008598020,0.3861910998820,3.09526753426,263.0182800290,2,60,0
33,373490.0458130,7352140.62835,9.48259830475,0.00006715304334650,0.2618381083010,4.95848226547,165.1960296630,2,40,0
34,373589.2647620,7352438.28520,10.04754257200,0.00001971401616170,0.3472587764260,4.52299690247,69.5644989014,2,40,0
35,373886.9216070,7352868.23398,11.56996059420,-0.00001333494128630,0.2670642435550,1.87955820560,120.1497573850,2,70,0
36,373886.9216070,7353232.03679,11.02980136870,0.00000234925869336,0.2060329914090,2.56313037872,103.0996551510,2,40,0
37,373324.6808990,7353232.03679,10.73907470700,-0.00001935168256750,0.2857104539870,1.74318146706,272.2127380370,2,40,0
38,373192.3889680,7352835.16099,10.65287113190,0.00000847448973218,0.3791321814060,3.26399612427,346.9519653320,2,40,0
39,373291.6079160,7352372.13923,10.58580112460,0.00001265322771360,0.2461576759820,4.69239425659,275.8099060060,2,40,0
40,373622.3377450,7352901.30696,9.10718250275,-0.00004058947524750,0.1905650943520,2.99173903465,31.0292263031,2,60,0
41,369388.9959440,7348965.62200,10.51143074040,0.00001101503676180,0.1247832402590,3.73011493683,96.6162338257,2,130,0
42,369331.9742800,7341398.33980,2.87730860710,0.00398823013529000,29.3734378815000,84.09349060060,336.0903930660,2,120,0
43,369232.7553320,7341232.97488,5.16907310486,0.01326107885690000,21.7168331146000,74.09593200680,213.7132110600,2,90,0
44,369116.9998920,7341067.60997,3.71457886696,0.00193903176114000,13.6937007904000,46.65736007690,226.9561462400,2,120,0
45,369497.3391940,7341414.87629,4.03200817108,0.00019006207003300,41.5709075928000,116.38835144000,345.3345031740,2,90,0
46,369679.2406000,7341447.94927,4.17577552795,0.01048036664720000,31.5720062256000,160.47732543900,282.5181579590,2,90,0
47,369927.2879710,7341447.94927,5.07027435303,0.00516882352531000,32.1316909790000,79.54679107670,95.8881835938,2,90,0
48,369943.8244620,7341249.51138,5.04572057724,0.00066961901029600,27.2460060120000,65.18003082280,93.4821548462,2,90,0
49,369778.4595480,7341117.21944,5.36542034149,0.00619303528219000,41.6161041260000,68.00420379640,161.5429687500,2,90,0
50,369629.6311260,7341282.58436,9.70116519928,-0.47621798515300000,8.1166648864700,5.00599193573,312.1089782710,2,90,0
51,369414.6567370,7341117.21944,3.95448803902,-0.01034719776360000,29.9012413025000,71.12796020510,217.1889038090,2,90,0
52,369348.5107720,7340918.78155,3.35260605812,-0.00228809961118000,70.3650817871000,29.71260643010,357.5962524410,2,90,0
53,369563.4851600,7341051.07348,4.64735269547,-0.01892348751430000,37.5608825684000,11.62563610080,124.7248611450,2,90,0
54,369546.9486690,7340753.41663,5.45099449158,0.00676107872277000,29.1599617004000,69.63520050050,103.0095672610,2,90,0
55,369398.1202460,7340621.12470,4.12049436569,0.00890178978443000,17.9901580811000,117.74798584000,123.3093872070,2,90,0
56,369116.9998920,7340670.73418,3.14301633835,-0.00068969535641400,23.3413753510000,79.73838043210,244.5698852540,2,90,0
57,368918.5619950,7340736.88014,2.98932552338,0.00641133263707000,26.7121677399000,29.02114105220,254.3013458250,2,120,0
58,369282.3648060,7340769.95312,4.15291547775,0.00150408421177000,32.1592521667000,123.71298217800,317.6096496580,2,90,0
59,377458.6625120,7345439.72426,6.03647851944,-0.00017682375619200,8.1604776382400,76.48931884770,113.1521987920,2,30,0
60,377743.6510820,7345339.14005,4.82450962067,0.02397088147700000,13.5452709198000,74.05312347410,161.7962799070,2,90,0
61,377576.0107470,7345657.65669,3.97744727135,0.01060122717170000,29.3360881805000,74.96404266360,340.1774597170,2,30,0
62,377743.6510820,7345490.01636,4.83684015274,-0.01433894783260000,25.5076942444000,8.79875373840,321.5809631350,2,90,0
63,377877.7633510,7345925.88123,10.76207733150,-0.00142713089008000,0.4271286726000,0.00000000000,21.2823047638,2,20,0
64,377827.4712500,7346127.04963,8.73210239410,0.00003694700717460,0.2772915661330,2.57436513901,92.0047912598,2,30,0
65,378078.9317530,7345992.93736,4.57073211670,-0.02009325474500000,31.8412284851000,16.96918296810,321.3083496090,2,20,0
66,377978.3475520,7346277.92593,7.76229619980,-0.00030305329710200,0.4875506460670,1.74797224998,332.4683837890,65,20,0
67,378196.2799880,7346445.56627,7.63208341599,0.00061285542324200,3.3284592628500,3.78407955170,233.4005126950,65,90,0
68,378229.8080550,7346177.34173,7.72921848297,-0.00500489398837000,28.2153873444000,14.89728927610,275.2365722660,2,20,0
69,378430.9764570,7346261.16190,7.64961862564,0.00041580887045700,10.7850646973000,77.96015167240,212.3477935790,2,90,0
